paper_subject,reference_subject,counts
30,22.0,1009
30,23.0,9842
30,24.0,13583
30,25.0,567
30,26.0,364
30,27.0,91546
30,28.0,53006
30,29.0,1347
30,30.0,229255
30,31.0,483
30,32.0,932
30,33.0,200
30,34.0,2172
30,35.0,703
30,36.0,289
31,10.0,13871
31,11.0,462
31,12.0,101
31,13.0,7792
31,15.0,1133
31,16.0,7681
31,17.0,1457
31,18.0,1
31,19.0,217
31,22.0,4082
31,23.0,317
31,24.0,432
31,25.0,2626
31,26.0,423
31,27.0,8895
31,28.0,2601
31,29.0,94
31,30.0,580
31,31.0,95095
31,32.0,159
31,33.0,61
31,34.0,24
31,35.0,193
31,36.0,1488
32,10.0,14858
32,11.0,3125
32,12.0,1175
32,13.0,3106
32,14.0,6
32,15.0,13
32,16.0,35
32,17.0,626
32,18.0,1
32,19.0,12
32,20.0,45
32,22.0,729
32,23.0,84
32,24.0,293
32,25.0,3
32,26.0,359
32,27.0,50024
32,28.0,93269
32,29.0,2456
32,30.0,1307
32,31.0,544
32,32.0,155662
32,33.0,3719
32,34.0,47
32,35.0,143
32,36.0,1384
33,10.0,1354
33,11.0,1029
33,12.0,73
33,13.0,773
33,14.0,6
33,15.0,25
33,16.0,112
33,17.0,29
33,18.0,4
33,19.0,50
33,20.0,56
33,22.0,527
33,23.0,95
33,24.0,236
33,25.0,1
33,26.0,129
33,27.0,18530
33,28.0,563
33,29.0,1168
33,30.0,303
33,31.0,38
33,32.0,3043
33,33.0,15925
33,34.0,50
33,35.0,248
33,36.0,310
34,10.0,2675
34,11.0,3706
34,12.0,1
34,13.0,10945
34,15.0,134
34,16.0,217
34,17.0,83
34,19.0,6
34,22.0,76
34,23.0,409
34,24.0,14537
34,25.0,9
34,26.0,47
34,27.0,23421
34,28.0,1649
34,29.0,190
34,30.0,1917
34,31.0,40
34,32.0,76
34,33.0,60
34,34.0,34800
34,35.0,153
34,36.0,83
35,10.0,1381
35,11.0,505
35,12.0,1
35,13.0,8329
35,15.0,2082
35,16.0,126
35,17.0,149
35,19.0,3
35,20.0,1
35,22.0,2944
35,23.0,81
35,24.0,2477
35,25.0,333
35,26.0,98
35,27.0,17461
35,28.0,1182
35,29.0,287
35,30.0,770
35,31.0,150
35,32.0,280
35,33.0,231
35,34.0,65
35,35.0,77898
35,36.0,181
36,10.0,363
36,11.0,224
36,12.0,63
36,13.0,1141
36,15.0,11
36,16.0,48
36,17.0,1226
36,19.0,15
36,20.0,1
36,22.0,1176
36,23.0,42
36,24.0,85
36,25.0,18
36,26.0,103
36,27.0,27884
36,28.0,2128
36,29.0,1512
36,30.0,131
36,31.0,767
36,32.0,2038
36,33.0,923
36,34.0,26
36,35.0,145
36,36.0,14078
