paper_subject,reference_subject,norm_counts
30,27,0.11737355576110092
30,28,0.1731711834122695
30,29,0.042463648577396186
30,30,0.0
30,31,0.01951519374573326
30,32,0.041887021079785015
30,33,0.011476336608816695
30,34,0.1325019087895046
30,35,0.1364280343336583
30,36,0.1904279075722691
31,10,0.06562136213158996
31,11,0.0029283454540582625
31,12,0.0006475078537401108
31,13,0.050079597735032635
31,15,0.009029570757768857
31,16,0.06342814745404918
31,17,0.01593896772072589
31,18,1.1657721404629265e-05
31,19,0.002529839528224948
31,22,0.04805885861530455
31,23,0.004583500304636621
31,24,0.006358929242259797
31,25,0.039627949255792105
31,26,0.007537776581823756
31,27,0.16326330681611478
31,28,0.12936821877512675
31,29,0.00934918626697824
31,30,0.05984825562594704
31,31,0.0
31,32,0.021341296358156386
31,33,0.008923189547518438
31,34,0.0036360958107969103
31,35,0.02965681366008912
31,36,0.2582316267828609
32,10,0.02243643016716023
32,11,0.005150382691188729
32,12,0.00197451389132919
32,13,0.005258203299669891
32,14,1.0360919959055375e-05
32,15,2.2449528364267145e-05
32,16,6.0446104500180174e-05
32,17,0.0010813658064087288
32,18,1.7344241675329976e-06
32,19,2.0813224793498407e-05
32,20,7.805565872587929e-05
32,22,0.0012648703017581542
32,23,0.0001464379489775594
32,24,0.0005110689430456062
32,25,5.2427920241914005e-06
32,26,0.000627399726956345
32,27,0.08762879375873271
32,28,0.2428327409153263
32,29,0.06850956613215384
32,30,0.048988174049040566
32,31,0.02495344293612084
32,32,0.0
32,33,0.18811525801698112
32,34,0.007984162119401558
32,35,0.025038171200060827
32,36,0.2672999154431532
33,10,0.012756819896707608
33,11,0.010173902855129115
33,12,0.0007499280969471224
33,13,0.007963063493971273
33,14,6.368092479730442e-05
33,15,0.00026539957461019995
33,16,0.001190156085538841
33,17,0.0003095252655207601
33,18,4.274197626153824e-05
33,19,0.0005343590132105243
33,20,0.0005996649534544309
33,22,0.005655795227829736
33,23,0.0010412853729858669
33,24,0.002596753476123721
33,25,1.1109686183690128e-05
33,26,0.001433208293891767
33,27,0.2069658882972941
33,28,0.026644389945906292
33,29,0.0613053370457024
33,30,0.02055451665247761
33,31,0.0027893946440550803
33,32,0.2256951801629984
33,33,0.0
33,34,0.022197649985825064
33,35,0.11991010982178076
33,36,0.26855013925079674
34,10,0.009005993645815573
34,11,0.013054931780065298
34,12,3.764163820743413e-06
34,13,0.04119953520867108
34,15,0.000632474552396278
34,16,0.00102742487629513
34,17,0.0003949726036925005
34,19,2.860776947380768e-05
34,22,0.0003624160356151463
34,23,0.0019538506690053845
34,24,0.07011862469459931
34,25,6.623758152860306e-05
34,26,0.00034602001231690016
34,27,0.17272212533410156
34,28,0.08046795037484751
34,29,0.01533497622319497
34,30,0.16732823164958022
34,31,0.019619505916542348
34,32,0.041244565500029085
34,33,0.0408125996710958
34,34,0.0
34,35,0.13007674128267233
34,36,0.19419845045464051
35,10,0.007546829694261996
35,11,0.002860694754436164
35,12,5.741576317682402e-06
35,13,0.047822873604506
35,15,0.015399271375321056
35,16,0.0010042892124465692
35,17,0.001193217494230868
35,19,2.4159363764084264e-05
35,20,8.054031474001148e-06
35,22,0.023711962022618452
35,23,0.0007337945279367586
35,24,0.022516908758089343
35,25,0.00338348559962495
35,26,0.0010117538549490497
35,27,0.1811249212056992
35,28,0.08027791565640352
35,29,0.0312086511796548
35,30,0.09803603805835796
35,31,0.035258344694258426
35,32,0.07879825507648179
35,33,0.10288375450980508
35,34,0.055704216622342234
35,35,0.0
35,36,0.20948486712702005
36,10,0.002106412539393585
36,11,0.001311707471281775
36,12,0.00037101066398612136
36,13,0.0067301538741048
36,15,6.68171176214007e-05
36,16,0.000291649411369126
36,17,0.007458567161149397
36,19,9.427904830061626e-05
36,20,6.287819341742418e-06
36,22,0.007394675509643927
36,23,0.0002727701254138607
36,24,0.0005526831204720473
36,25,0.00011731762879640386
36,26,0.0006716564195807557
36,27,0.18235652723453896
36,28,0.06450320893129782
36,29,0.06342332123459986
36,30,0.007555546778138659
36,31,0.045722808911051065
36,32,0.15121868518912296
36,33,0.19575630928687235
36,34,0.034709350108844045
36,35,0.22730825441507865
36,36,0.0
